t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi
  0.0000  -2.2008   2.2413   2.0224  -2.0832  -0.8145   1.1668   0.9677  -0.9452  -0.0003   0.1068   0.0109 
  0.0000  -1.9616   2.2494   2.6182  -1.9252  -0.9651   1.1677   0.6457  -1.0586   0.0123   0.1094  -0.0108 
  0.0000  -2.3993   2.0305   2.1886  -1.9454  -0.7046   1.3131   0.8837  -1.0569  -0.0016   0.1070   0.0096 
  0.0000  -2.0913   1.8279   2.0103  -1.7306  -0.8465   1.4360   0.9824  -1.1997   0.0002   0.0958   0.0058 
  0.0000  -1.9211   1.7630   2.0832  -1.7874  -0.9599   1.4767   0.9288  -1.1815   0.0017   0.0944  -0.0061 
  0.0000  -1.8603   2.1156   2.4075  -1.9697  -1.0257   1.3356   0.7219  -1.1226   0.0087   0.1044  -0.0130 
  0.0000  -2.0305   2.4358   2.2778  -2.4237  -0.9608   1.1131   0.7842  -0.8413   0.0032   0.1146  -0.0076 
  0.0000  -2.0103   2.2778   2.1683  -2.5898  -0.9867   1.1555   0.8526  -0.7626  -0.0019   0.1131  -0.0153 
  0.0000  -2.0832   2.2899   2.1683  -2.3264  -0.9028   1.1512   0.8517  -0.8318   0.0006   0.1108  -0.0039 
  0.0000  -2.1440   2.3142   2.0589  -2.2129  -0.8967   1.1218   0.9045  -0.9132   0.0002   0.1091   0.0061 
  0.0000  -2.2859   2.3467   2.2008  -1.9859  -0.7669   1.0872   0.8405  -1.0430   0.0034   0.1102   0.0145 
  0.0000  -2.3021   2.2008   1.8400  -1.8400  -0.7643   1.1590   1.0274  -1.1183  -0.0013   0.1023   0.0267 
  0.0000  -2.4804   1.8765   2.0184  -1.9738  -0.6293   1.3641   0.9279  -1.0742  -0.0070   0.1044   0.0118 
  0.0000  -1.9576   1.5320   2.1035  -2.0224  -0.9383   1.5675   0.8777  -1.0569  -0.0043   0.0952  -0.0207 
  0.0000  -1.9373   1.4753   2.1886  -2.0184  -0.9461   1.6783   0.8327  -1.0742  -0.0036   0.0952  -0.0258 
  0.0000  -1.7671   1.6171   2.1075  -1.9333  -1.0612   1.6152   0.8863  -1.1226   0.0003   0.0928  -0.0213 
  0.0000  -1.8360   2.0103   1.8522  -2.1562  -1.0395   1.4152   1.0222  -1.0179  -0.0016   0.0982  -0.0053 
  0.0000  -1.7995   2.7276   1.9252  -2.3953  -1.0768   1.0093   0.9971  -0.8725   0.0057   0.1106   0.0067 
  0.0000  -1.9373   2.1278   2.0224  -2.1886  -1.0352   1.2992   0.9409  -0.9790   0.0003   0.1035  -0.0047 
  0.0000  -2.0548   2.1035   2.0832  -2.2859  -0.9833   1.3503   0.9253  -0.9201  -0.0019   0.1066  -0.0068 
  0.0000  -2.1035   2.2291   2.0224  -2.3588  -0.9201   1.2620   0.9279  -0.8829  -0.0026   0.1089  -0.0016 
  0.0000  -2.2980   2.4318   2.4480  -2.2494  -0.8145   1.1555   0.7271  -0.9097   0.0042   0.1178   0.0011 
  0.0000  -2.4966   2.1562   2.1278  -2.0467  -0.6622   1.3269   0.8924  -1.0309  -0.0032   0.1103   0.0155 
  0.0000  -2.0832   1.7752   2.1278  -1.8968  -0.9409   1.5476   0.8967  -1.1209  -0.0010   0.0985  -0.0054 
  0.0000  -2.0589   1.7509   2.2048  -1.9616  -0.9305   1.5883   0.8500  -1.0898  -0.0008   0.0997  -0.0116 
  0.0000  -2.0792   1.7185   2.1400  -1.8644  -0.9374   1.5892   0.8509  -1.1633  -0.0011   0.0975  -0.0067 
  0.0000  -2.0184   2.2899   1.9859  -2.2048  -0.9599   1.2620   0.9539  -0.9504   0.0007   0.1062   0.0038 
  0.0000  -2.0184   2.2251   1.9697  -2.6425  -0.9694   1.3235   0.9772  -0.7020  -0.0058   0.1107  -0.0120 
  0.0000  -2.0103   2.1197   2.0427  -2.2008  -0.9911   1.3546   0.9314  -0.9244  -0.0006   0.1047  -0.0037 
  0.0000  -2.1035   2.2494   2.2251  -2.4682  -0.9210   1.2793   0.8292  -0.7712  -0.0012   0.1131  -0.0111 
  0.0000  -1.8360   2.1440   2.3264  -2.0913  -1.0794   1.3434   0.7851  -0.9824   0.0068   0.1050  -0.0142 
  0.0000  -2.2413   1.9616   1.8968  -1.6698  -0.8933   1.4152   1.0049  -1.2075  -0.0007   0.0971   0.0207 
  0.0000  -2.3345   2.0670   1.8887  -1.8238  -0.7894   1.4048   1.0153  -1.1599  -0.0025   0.1014   0.0224 
  0.0000  -2.5331   1.9738   2.2170  -1.9941  -0.6596   1.4645   0.8630  -1.0508  -0.0042   0.1090   0.0096 
  0.0000  -1.9373   1.7752   2.4439  -2.1683  -1.0257   1.5857   0.7020  -0.9703   0.0014   0.1041  -0.0292 
  0.0000  -1.7387   2.3142   2.4966  -2.0711  -1.1503   1.2629   0.6146  -1.0084   0.0125   0.1078  -0.0167 
  0.0000  -1.8036   1.9738   2.0548  -2.4439  -1.1192   1.5026   0.8612  -0.7955  -0.0027   0.1035  -0.0234 
  0.0000  -2.1521   2.3142   1.9454  -2.4075  -0.9184   1.2698   0.9634  -0.7955  -0.0037   0.1102   0.0037 
  0.0000  -2.0954   2.0954   2.1035  -2.3507  -0.9842   1.4135   0.8820  -0.8223  -0.0031   0.1081  -0.0086 
  0.0000  -2.2494   2.3142   1.9495  -2.2129  -0.8284   1.2404   0.9469  -0.8846  -0.0025   0.1091   0.0130 
  0.0000  -2.5331   2.5088   2.2291  -1.8765  -0.6717   1.1434   0.8275  -1.0828   0.0041   0.1143   0.0304 
  0.0000  -2.3386   2.2008   1.8481  -1.8400  -0.7712   1.3278   1.0153  -1.1079  -0.0016   0.1028   0.0276 
